tipo_persona_id,sexo_victima
284.0,No corresponde
285.0,No corresponde
13898.0,Femenino
286.0,No corresponde
13899.0,Masculino
287.0,No corresponde
13900.0,Masculino
288.0,No corresponde
13901.0,Masculino
289.0,No corresponde
13902.0,Masculino
290.0,No corresponde
13903.0,Masculino
13589.0,No corresponde
13904.0,Femenino
291.0,No corresponde
292.0,No corresponde
13905.0,Masculino
293.0,No corresponde
13906.0,Masculino
294.0,No corresponde
13907.0,Masculino
295.0,No corresponde
13908.0,Masculino
296.0,No corresponde
13909.0,Masculino
297.0,No corresponde
13910.0,Masculino
298.0,No corresponde
13911.0,Masculino
299.0,No corresponde
13912.0,Masculino
300.0,No corresponde
13913.0,Masculino
301.0,No corresponde
302.0,No corresponde
13914.0,Masculino
303.0,No corresponde
13915.0,Femenino
304.0,No corresponde
13916.0,Masculino
305.0,No corresponde
13917.0,Masculino
306.0,No corresponde
13918.0,Masculino
307.0,No corresponde
13919.0,Femenino
308.0,No corresponde
13920.0,Masculino
309.0,No corresponde
13921.0,Masculino
310.0,No corresponde
13922.0,Masculino
311.0,No corresponde
13923.0,Masculino
312.0,No corresponde
13924.0,Femenino
514.0,No corresponde
515.0,No corresponde
13925.0,Masculino
313.0,No corresponde
13926.0,Masculino
314.0,No corresponde
13927.0,Masculino
315.0,No corresponde
13928.0,Masculino
316.0,No corresponde
13929.0,Masculino
317.0,No corresponde
13930.0,Masculino
318.0,No corresponde
319.0,No corresponde
13931.0,Masculino
320.0,No corresponde
13932.0,Masculino
321.0,No corresponde
13933.0,Masculino
322.0,No corresponde
13934.0,Masculino
323.0,No corresponde
13935.0,Masculino
324.0,No corresponde
13936.0,Masculino
325.0,No corresponde
13937.0,Masculino
326.0,No corresponde
13938.0,Masculino
327.0,No corresponde
13939.0,Masculino
328.0,No corresponde
13940.0,Masculino
329.0,No corresponde
13941.0,Masculino
330.0,No corresponde
13942.0,Masculino
331.0,No corresponde
13943.0,Masculino
332.0,No corresponde
13944.0,Masculino
333.0,No corresponde
13945.0,Femenino
334.0,No corresponde
13946.0,Masculino
335.0,No corresponde
13947.0,Masculino
13582.0,No corresponde
13948.0,Femenino
336.0,No corresponde
13949.0,Femenino
337.0,No corresponde
13950.0,Masculino
338.0,No corresponde
13951.0,Masculino
339.0,No corresponde
13952.0,Masculino
340.0,No corresponde
13953.0,Masculino
341.0,No corresponde
13954.0,Masculino
342.0,No corresponde
13955.0,Masculino
343.0,No corresponde
13956.0,Masculino
344.0,No corresponde
13957.0,Masculino
345.0,No corresponde
13958.0,Masculino
346.0,No corresponde
13959.0,Masculino
347.0,No corresponde
13960.0,Femenino
13961.0,Masculino
348.0,No corresponde
13962.0,Masculino
349.0,No corresponde
13963.0,Masculino
350.0,No corresponde
13964.0,Masculino
352.0,No corresponde
353.0,No corresponde
13966.0,Masculino
351.0,No corresponde
13965.0,Masculino
354.0,No corresponde
13967.0,Masculino
13575.0,No corresponde
13968.0,Femenino
355.0,No corresponde
356.0,No corresponde
13969.0,Masculino
357.0,No corresponde
13970.0,Masculino
358.0,No corresponde
13971.0,Masculino
398.0,No corresponde
399.0,No corresponde
400.0,No corresponde
401.0,No corresponde
402.0,No corresponde
403.0,No corresponde
13972.0,Masculino
359.0,No corresponde
13973.0,Masculino
360.0,No corresponde
361.0,No corresponde
13974.0,Masculino
362.0,No corresponde
13975.0,Masculino
404.0,No corresponde
405.0,No corresponde
