tipo_persona_id,tipo_lugar,sexo_victima
229.0,Domicilio particular,
13851.0,Domicilio particular,
13852.0,Domicilio particular,
230.0,Domicilio particular,
13853.0,Domicilio particular,
231.0,Domicilio particular,
232.0,Domicilio particular,
13854.0,Domicilio particular,
233.0,Vía pública,
13855.0,Vía pública,
234.0,Vía pública,
235.0,Vía pública,
13856.0,Vía pública,
236.0,Vía pública,
13857.0,Vía pública,
237.0,Vía pública,
13858.0,Vía pública,
238.0,Domicilio particular,
13859.0,Domicilio particular,
239.0,Domicilio particular,
240.0,Domicilio particular,
13860.0,Domicilio particular,
241.0,Vía pública,
13861.0,Vía pública,
242.0,Vía pública,
243.0,Vía pública,
13862.0,Vía pública,
244.0,Vía pública,
245.0,Vía pública,
13863.0,Vía pública,
246.0,Vía pública,
13864.0,Vía pública,
247.0,Carcel o comisaría,
13865.0,Carcel o comisaría,
397.0,Vía pública,
13866.0,Vía pública,
248.0,Domicilio particular,
13867.0,Domicilio particular,
249.0,Otro lugar,
250.0,Otro lugar,
13868.0,Otro lugar,
251.0,Domicilio particular,
13869.0,Domicilio particular,
252.0,Domicilio particular,
13870.0,Domicilio particular,
253.0,Domicilio particular,
13871.0,Domicilio particular,
254.0,Vía pública,
13872.0,Vía pública,
255.0,Domicilio particular,
13873.0,Domicilio particular,
256.0,Domicilio particular,
257.0,Domicilio particular,
13874.0,Domicilio particular,
258.0,Domicilio particular,
13875.0,Domicilio particular,
259.0,Domicilio particular,
13876.0,Domicilio particular,
260.0,Domicilio particular,
13877.0,Domicilio particular,
261.0,Vía pública,
13878.0,Vía pública,
262.0,Vía pública,
263.0,Vía pública,
13879.0,Vía pública,
264.0,Domicilio particular,
13880.0,Domicilio particular,
265.0,Domicilio particular,
13881.0,Domicilio particular,
266.0,Domicilio particular,
13882.0,Domicilio particular,
267.0,Vía pública,
268.0,Vía pública,
13883.0,Vía pública,
269.0,Vía pública,
13884.0,Vía pública,
270.0,Domicilio particular,
13885.0,Domicilio particular,
271.0,Otro lugar,
13886.0,Otro lugar,
272.0,Domicilio particular,
13887.0,Domicilio particular,
273.0,Vía pública,
13888.0,Vía pública,
274.0,Vía pública,
13889.0,Vía pública,
275.0,Otro lugar,
13890.0,Otro lugar,
276.0,Vía pública,
13891.0,Vía pública,
11365.0,Domicilio particular,
13892.0,Domicilio particular,
277.0,Vía pública,
13893.0,Vía pública,
278.0,Domicilio particular,
13894.0,Domicilio particular,
279.0,Domicilio particular,
280.0,Domicilio particular,
13895.0,Domicilio particular,
281.0,Vía pública,
13896.0,Vía pública,
282.0,Vía pública,
13897.0,Vía pública,
283.0,Vía pública,
284.0,Vía pública,
285.0,Vía pública,
13898.0,Vía pública,
286.0,Domicilio particular,
13899.0,Domicilio particular,
287.0,Domicilio particular,
13900.0,Domicilio particular,
288.0,Vía pública,
13901.0,Vía pública,
289.0,Domicilio particular,
13902.0,Domicilio particular,
290.0,Domicilio particular,
13903.0,Domicilio particular,
13589.0,Vía pública,
13904.0,Vía pública,
291.0,Domicilio particular,
292.0,Domicilio particular,
13905.0,Domicilio particular,
293.0,Domicilio particular,
13906.0,Domicilio particular,
294.0,Vía pública,
13907.0,Vía pública,
295.0,Domicilio particular,
13908.0,Domicilio particular,
296.0,Vía pública,
13909.0,Vía pública,
297.0,Vía pública,
13910.0,Vía pública,
298.0,Vía pública,
13911.0,Vía pública,
299.0,Domicilio particular,
13912.0,Domicilio particular,
300.0,Vía pública,
13913.0,Vía pública,
301.0,Vía pública,
302.0,Vía pública,
13914.0,Vía pública,
303.0,Vía pública,
13915.0,Vía pública,
304.0,Vía pública,
13916.0,Vía pública,
305.0,Vía pública,
13917.0,Vía pública,
306.0,Vía pública,
13918.0,Vía pública,
307.0,Vía pública,
13919.0,Vía pública,
308.0,Vía pública,
13920.0,Vía pública,
309.0,Vía pública,
13921.0,Vía pública,
310.0,Domicilio particular,
13922.0,Domicilio particular,
311.0,Vía pública,
13923.0,Vía pública,
312.0,Domicilio particular,
13924.0,Domicilio particular,
514.0,Domicilio particular,
515.0,Domicilio particular,
13925.0,Domicilio particular,
313.0,Vía pública,
13926.0,Vía pública,
314.0,Vía pública,
13927.0,Vía pública,
315.0,Domicilio particular,
13928.0,Domicilio particular,
316.0,Vía pública,
13929.0,Vía pública,
317.0,Vía pública,
13930.0,Vía pública,
318.0,Vía pública,
