tipo_persona_id,tipo_lugar,sexo_inculpado,Id_hecho
231.0,2.0,,11825
232.0,2.0,,11825
13854.0,2.0,,11825
233.0,6.0,,11826
13855.0,6.0,,11826
234.0,6.0,,11827
235.0,6.0,,11827
13856.0,6.0,,11827
236.0,6.0,,11847
13857.0,6.0,,11847
237.0,6.0,,11848
13858.0,6.0,,11848
238.0,2.0,,11849
13859.0,2.0,,11849
239.0,2.0,,11878
240.0,2.0,,11878
13860.0,2.0,,11878
241.0,6.0,,11879
13861.0,6.0,,11879
242.0,6.0,,11880
243.0,6.0,,11880
13862.0,6.0,,11880
244.0,6.0,,11881
245.0,6.0,,11881
13863.0,6.0,,11881
246.0,6.0,,11882
13864.0,6.0,,11882
247.0,0.0,,11883
13865.0,0.0,,11883
397.0,6.0,,11884
13866.0,6.0,,11884
248.0,2.0,,11885
13867.0,2.0,,11885
249.0,4.0,,11886
250.0,4.0,,11886
13868.0,4.0,,11886
251.0,2.0,,11888
13869.0,2.0,,11888
252.0,2.0,,11892
13870.0,2.0,,11892
253.0,2.0,,11893
13871.0,2.0,,11893
254.0,6.0,,11894
13872.0,6.0,,11894
255.0,2.0,,11895
13873.0,2.0,,11895
256.0,2.0,,11896
257.0,2.0,,11896
13874.0,2.0,,11896
258.0,2.0,,11897
13875.0,2.0,,11897
259.0,2.0,,11898
13876.0,2.0,,11898
260.0,2.0,,11899
13877.0,2.0,,11899
261.0,6.0,,11900
13878.0,6.0,,11900
262.0,6.0,,11901
263.0,6.0,,11901
13879.0,6.0,,11901
264.0,2.0,,11902
13880.0,2.0,,11902
265.0,2.0,,11903
13881.0,2.0,,11903
266.0,2.0,,11904
13882.0,2.0,,11904
267.0,6.0,,11905
268.0,6.0,,11905
13883.0,6.0,,11905
269.0,6.0,,11906
13884.0,6.0,,11906
270.0,2.0,,11907
13885.0,2.0,,11907
271.0,4.0,,11908
13886.0,4.0,,11908
272.0,2.0,,11909
13887.0,2.0,,11909
273.0,6.0,,11910
13888.0,6.0,,11910
274.0,6.0,,11911
13889.0,6.0,,11911
275.0,4.0,,11912
13890.0,4.0,,11912
276.0,6.0,,11913
13891.0,6.0,,11913
11365.0,2.0,,11914
13892.0,2.0,,11914
277.0,6.0,,11915
13893.0,6.0,,11915
278.0,2.0,,11916
13894.0,2.0,,11916
279.0,2.0,,11917
280.0,2.0,,11917
13895.0,2.0,,11917
281.0,6.0,,11918
13896.0,6.0,,11918
282.0,6.0,,11919
13897.0,6.0,,11919
283.0,6.0,,11920
284.0,6.0,,11920
285.0,6.0,,11920
13898.0,6.0,,11920
286.0,2.0,,11921
13899.0,2.0,,11921
287.0,2.0,,11925
13900.0,2.0,,11925
288.0,6.0,,11926
13901.0,6.0,,11926
289.0,2.0,,11927
13902.0,2.0,,11927
290.0,2.0,,11928
13903.0,2.0,,11928
13589.0,6.0,,11929
13904.0,6.0,,11929
291.0,2.0,,11930
292.0,2.0,,11930
13905.0,2.0,,11930
293.0,2.0,,11931
13906.0,2.0,,11931
294.0,6.0,,11934
13907.0,6.0,,11934
295.0,2.0,,11935
13908.0,2.0,,11935
296.0,6.0,,11936
13909.0,6.0,,11936
297.0,6.0,,11937
13910.0,6.0,,11937
298.0,6.0,,11939
13911.0,6.0,,11939
299.0,2.0,,11941
13912.0,2.0,,11941
300.0,6.0,,11942
13913.0,6.0,,11942
301.0,6.0,,11943
302.0,6.0,,11943
13914.0,6.0,,11943
303.0,6.0,,11944
13915.0,6.0,,11944
304.0,6.0,,11945
13916.0,6.0,,11945
305.0,6.0,,11946
13917.0,6.0,,11946
306.0,6.0,,11947
13918.0,6.0,,11947
307.0,6.0,,11948
13919.0,6.0,,11948
308.0,6.0,,11949
13920.0,6.0,,11949
309.0,6.0,,11950
13921.0,6.0,,11950
310.0,2.0,,11951
13922.0,2.0,,11951
311.0,6.0,,11952
13923.0,6.0,,11952
312.0,2.0,,11953
13924.0,2.0,,11953
514.0,2.0,,11966
515.0,2.0,,11966
13925.0,2.0,,11966
313.0,6.0,,11970
13926.0,6.0,,11970
314.0,6.0,,11971
13927.0,6.0,,11971
315.0,2.0,,11972
13928.0,2.0,,11972
316.0,6.0,,11973
13929.0,6.0,,11973
317.0,6.0,,11974
13930.0,6.0,,11974
318.0,6.0,,11975
319.0,6.0,,11975
13931.0,6.0,,11975
320.0,6.0,,11976
13932.0,6.0,,11976
321.0,6.0,,11977
13933.0,6.0,,11977
322.0,6.0,,11978
13934.0,6.0,,11978
323.0,6.0,,11979
13935.0,6.0,,11979
324.0,6.0,,11980
13936.0,6.0,,11980
325.0,6.0,,11981
13937.0,6.0,,11981
326.0,6.0,,11982
13938.0,6.0,,11982
327.0,6.0,,11983
13939.0,6.0,,11983
328.0,6.0,,11984
13940.0,6.0,,11984
329.0,6.0,,11985
13941.0,6.0,,11985
330.0,6.0,,11986
13942.0,6.0,,11986
331.0,6.0,,11987
13943.0,6.0,,11987
332.0,6.0,,11988
13944.0,6.0,,11988
333.0,6.0,,11989
13945.0,6.0,,11989
334.0,2.0,,11990
13946.0,2.0,,11990
335.0,6.0,,11991
13947.0,6.0,,11991
13582.0,2.0,,11992
13948.0,2.0,,11992
336.0,2.0,,11993
13949.0,2.0,,11993
337.0,4.0,,11994
13950.0,4.0,,11994
338.0,2.0,,11995
13951.0,2.0,,11995
339.0,6.0,,12001
13952.0,6.0,,12001
340.0,6.0,,12002
13953.0,6.0,,12002
341.0,6.0,,12004
13954.0,6.0,,12004
342.0,6.0,,12005
13955.0,6.0,,12005
343.0,6.0,,12006
13956.0,6.0,,12006
344.0,6.0,,12007
13957.0,6.0,,12007
345.0,4.0,,12008
13958.0,4.0,,12008
346.0,6.0,,12009
13959.0,6.0,,12009
347.0,2.0,,12010
13960.0,2.0,,12010
13961.0,2.0,,12010
348.0,6.0,,12011
13962.0,6.0,,12011
349.0,6.0,,12012
13963.0,6.0,,12012
350.0,2.0,,12013
13964.0,2.0,,12013
352.0,2.0,,12016
353.0,2.0,,12016
13966.0,2.0,,12016
351.0,6.0,,12017
13965.0,6.0,,12017
354.0,6.0,,12018
13967.0,6.0,,12018
13575.0,4.0,,12019
13968.0,4.0,,12019
355.0,6.0,,12020
356.0,6.0,,12020
13969.0,6.0,,12020
357.0,6.0,,12021
13970.0,6.0,,12021
358.0,6.0,,12022
13971.0,6.0,,12022
398.0,6.0,,12023
399.0,6.0,,12023
400.0,6.0,,12023
401.0,6.0,,12023
402.0,6.0,,12023
403.0,6.0,,12023
13972.0,6.0,,12023
359.0,6.0,,12024
13973.0,6.0,,12024
360.0,4.0,,12025
361.0,4.0,,12025
13974.0,4.0,,12025
362.0,2.0,,12026
13975.0,2.0,,12026
404.0,6.0,,12027
405.0,6.0,,12027
406.0,6.0,,12027
407.0,6.0,,12027
408.0,6.0,,12027
409.0,6.0,,12027
410.0,6.0,,12027
13976.0,6.0,,12027
363.0,6.0,,12028
13977.0,6.0,,12028
364.0,1.0,,12029
365.0,1.0,,12029
13978.0,1.0,,12029
366.0,2.0,,12030
13979.0,2.0,,12030
367.0,6.0,,12031
368.0,6.0,,12031
13980.0,6.0,,12031
369.0,5.0,,12032
