fecha_hecho,tipo_persona_id,localidad
914.0,13871.0,Caleta Olivia
258.0,254.0,Yacimientos Río Turbio 
258.0,13872.0,Yacimientos Río Turbio 
1547.0,255.0,Río Gallegos
1547.0,13873.0,Río Gallegos
646.0,256.0,Coronel Juan Solá (Est. Morillo)
646.0,257.0,Coronel Juan Solá (Est. Morillo)
646.0,13874.0,Coronel Juan Solá (Est. Morillo)
1120.0,258.0,Salta
1120.0,13875.0,Salta
1120.0,259.0,Salta
1120.0,13876.0,Salta
104.0,260.0,Chimbas
104.0,13877.0,Chimbas
1333.0,261.0,San Fernando del Valle de Catamarca
1333.0,13878.0,San Fernando del Valle de Catamarca
1403.0,262.0,Colan Conhué
1403.0,263.0,Colan Conhué
1403.0,13879.0,Colan Conhué
1348.0,264.0,Puerto Madryn
1348.0,13880.0,Puerto Madryn
79.0,265.0,San Fernando del Valle de Catamarca
79.0,13881.0,San Fernando del Valle de Catamarca
1180.0,266.0,Pichanal 
1180.0,13882.0,Pichanal 
567.0,267.0,San Fernando del Valle de Catamarca
567.0,268.0,San Fernando del Valle de Catamarca
567.0,13883.0,San Fernando del Valle de Catamarca
447.0,269.0,San Fernando del Valle de Catamarca
447.0,13884.0,San Fernando del Valle de Catamarca
1408.0,270.0,San Juan
1408.0,13885.0,San Juan
1747.0,271.0,Río Gallegos
1747.0,13886.0,Río Gallegos
1165.0,272.0,Saujil
1165.0,13887.0,Saujil
447.0,273.0,San Miguel de Tucumán (Est. Tucumán)
447.0,13888.0,San Miguel de Tucumán (Est. Tucumán)
924.0,274.0,San Miguel de Tucumán (Est. Tucumán)
924.0,13889.0,San Miguel de Tucumán (Est. Tucumán)
1780.0,275.0,Pozo del Tigre
1780.0,13890.0,Pozo del Tigre
447.0,276.0,Formosa
447.0,13891.0,Formosa
507.0,11365.0,Las Lomitas
507.0,13892.0,Las Lomitas
1443.0,277.0,Neuquén
1443.0,13893.0,Neuquén
1190.0,278.0,Pico Truncado
1190.0,13894.0,Pico Truncado
1403.0,279.0,San Fernando del Valle de Catamarca
1403.0,280.0,San Fernando del Valle de Catamarca
1403.0,13895.0,San Fernando del Valle de Catamarca
234.0,281.0,Los Altos
234.0,13896.0,Los Altos
711.0,282.0,Rawson
711.0,13897.0,Rawson
820.0,283.0,Rincón de los Sauces
820.0,284.0,Rincón de los Sauces
820.0,285.0,Rincón de los Sauces
820.0,13898.0,Rincón de los Sauces
1503.0,286.0,San Martín de los Andes 
1503.0,13899.0,San Martín de los Andes 
1353.0,287.0,General Pico
1353.0,13900.0,General Pico
532.0,288.0,Anguil
532.0,13901.0,Anguil
532.0,289.0,Eduardo Castex
532.0,13902.0,Eduardo Castex
830.0,290.0,Neuquén
830.0,13903.0,Neuquén
1298.0,13589.0,Plottier
1298.0,13904.0,Plottier
1008.0,291.0,Neuquén
1008.0,292.0,Neuquén
1008.0,13905.0,Neuquén
413.0,293.0,Villa La Angostura
413.0,13906.0,Villa La Angostura
1493.0,294.0,Santa Fe
1493.0,13907.0,Santa Fe
1732.0,295.0,Santa Fe
1732.0,13908.0,Santa Fe
159.0,296.0,Santa Fe
159.0,13909.0,Santa Fe
1110.0,297.0,Santa Fe
1110.0,13910.0,Santa Fe
1493.0,298.0,Rosario
1493.0,13911.0,Rosario
1672.0,299.0,Rosario
1672.0,13912.0,Rosario
1790.0,300.0,Rosario
1790.0,13913.0,Rosario
99.0,301.0,Rosario
99.0,302.0,Rosario
99.0,13914.0,Rosario
99.0,303.0,Villa Gobernador Gálvez
99.0,13915.0,Villa Gobernador Gálvez
219.0,304.0,Rosario
219.0,13916.0,Rosario
219.0,305.0,Rosario
219.0,13917.0,Rosario
278.0,306.0,Villa Gobernador Gálvez
278.0,13918.0,Villa Gobernador Gálvez
398.0,307.0,Rosario
398.0,13919.0,Rosario
517.0,308.0,Rosario
517.0,13920.0,Rosario
577.0,309.0,Rosario
577.0,13921.0,Rosario
756.0,310.0,Rosario
756.0,13922.0,Rosario
993.0,311.0,Pérez
993.0,13923.0,Pérez
1052.0,312.0,Rosario
1052.0,13924.0,Rosario
1702.0,514.0,Río Gallegos
1702.0,515.0,Río Gallegos
1702.0,13925.0,Río Gallegos
45.0,313.0,Santa Fe
45.0,13926.0,Santa Fe
1737.0,314.0,Santa Fe
1737.0,13927.0,Santa Fe
1677.0,315.0,Santa Fe
1677.0,13928.0,Santa Fe
104.0,316.0,Santo Tomé
104.0,13929.0,Santo Tomé
403.0,317.0,Santa Fe
403.0,13930.0,Santa Fe
522.0,318.0,Santa Fe
522.0,319.0,Santa Fe
522.0,13931.0,Santa Fe
343.0,320.0,Santa Fe
343.0,13932.0,Santa Fe
45.0,321.0,Rosario
45.0,13933.0,Rosario
1737.0,322.0,Villa Gobernador Gálvez
1737.0,13934.0,Villa Gobernador Gálvez
164.0,323.0,Rosario
164.0,13935.0,Rosario
224.0,324.0,Rosario
224.0,13936.0,Rosario
462.0,325.0,Rosario
462.0,13937.0,Rosario
641.0,326.0,Rosario
641.0,13938.0,Rosario
820.0,327.0,Rosario
820.0,13939.0,Rosario
820.0,328.0,Rosario
820.0,13940.0,Rosario
820.0,329.0,Rosario
820.0,13941.0,Rosario
939.0,330.0,Rosario
939.0,13942.0,Rosario
998.0,331.0,Rosario
998.0,13943.0,Rosario
1115.0,332.0,Villa Gobernador Gálvez
1115.0,13944.0,Villa Gobernador Gálvez
1115.0,333.0,Pérez
1115.0,13945.0,Pérez
1233.0,334.0,Rosario
1233.0,13946.0,Rosario
1443.0,335.0,Rosario
1443.0,13947.0,Rosario
104.0,13582.0,Rafaela
104.0,13948.0,Rafaela
879.0,336.0,Santa Rosa de Calchines 
879.0,13949.0,Santa Rosa de Calchines 
343.0,337.0,Alejandra
343.0,13950.0,Alejandra
879.0,338.0,Coronda
879.0,13951.0,Coronda
1800.0,339.0,Santa Fe
1800.0,13952.0,Santa Fe
1120.0,340.0,Santa Fe
1120.0,13953.0,Santa Fe
879.0,341.0,Rosario
879.0,13954.0,Rosario
1800.0,342.0,Rosario
1800.0,13955.0,Rosario
229.0,343.0,Rosario
229.0,13956.0,Rosario
