tipo_persona_id,motivo_origen_registro,Id_hecho
174.0,Denuncia particular,11762
175.0,Denuncia particular,11762
176.0,Denuncia particular,11762
177.0,Denuncia particular,11762
13807.0,Denuncia particular,11762
178.0,Denuncia particular,11763
13808.0,Denuncia particular,11763
179.0,Denuncia particular,11764
13809.0,Denuncia particular,11764
180.0,Denuncia particular,11765
13810.0,Denuncia particular,11765
181.0,Denuncia particular,11766
13811.0,Denuncia particular,11766
182.0,Denuncia particular,11767
13812.0,Denuncia particular,11767
183.0,Denuncia particular,11768
13813.0,Denuncia particular,11768
184.0,Denuncia particular,11769
13814.0,Denuncia particular,11769
185.0,Denuncia particular,11770
13815.0,Denuncia particular,11770
186.0,Denuncia particular,11771
187.0,Denuncia particular,11771
13816.0,Denuncia particular,11771
188.0,Denuncia particular,11772
189.0,Denuncia particular,11772
190.0,Denuncia particular,11772
13817.0,Denuncia particular,11772
191.0,Denuncia particular,11773
13818.0,Denuncia particular,11773
192.0,Denuncia particular,11774
13819.0,Denuncia particular,11774
193.0,Denuncia particular,11775
13820.0,Denuncia particular,11775
194.0,Denuncia particular,11776
13821.0,Denuncia particular,11776
195.0,Intervención policial,11777
13822.0,Intervención policial,11777
196.0,Denuncia particular,11778
13823.0,Denuncia particular,11778
197.0,Denuncia particular,11779
13824.0,Denuncia particular,11779
390.0,Denuncia particular,11780
13574.0,Denuncia particular,11780
13825.0,Denuncia particular,11780
198.0,Intervención policial,11781
13826.0,Intervención policial,11781
199.0,Denuncia particular,11782
13827.0,Denuncia particular,11782
200.0,Denuncia particular,11783
13828.0,Denuncia particular,11783
201.0,Intervención policial,11784
13829.0,Intervención policial,11784
202.0,Denuncia particular,11792
13830.0,Denuncia particular,11792
203.0,Denuncia particular,11793
13831.0,Denuncia particular,11793
204.0,Denuncia particular,11794
13832.0,Denuncia particular,11794
205.0,Intervención policial,11795
13833.0,Intervención policial,11795
206.0,Denuncia particular,11796
13834.0,Denuncia particular,11796
207.0,Denuncia particular,11797
391.0,Denuncia particular,11797
392.0,Denuncia particular,11797
393.0,Denuncia particular,11797
394.0,Denuncia particular,11797
13835.0,Denuncia particular,11797
208.0,Denuncia particular,11798
13836.0,Denuncia particular,11798
209.0,Denuncia particular,11799
13837.0,Denuncia particular,11799
210.0,Denuncia particular,11800
13838.0,Denuncia particular,11800
211.0,Denuncia particular,11801
13839.0,Denuncia particular,11801
212.0,Denuncia particular,11802
13840.0,Denuncia particular,11802
213.0,Denuncia particular,11811
13841.0,Denuncia particular,11811
214.0,Denuncia particular,11812
215.0,Denuncia particular,11812
13994.0,Denuncia particular,11812
216.0,Denuncia particular,11813
13842.0,Denuncia particular,11813
217.0,Denuncia particular,11814
13843.0,Denuncia particular,11814
218.0,Denuncia particular,11815
13844.0,Denuncia particular,11815
219.0,Denuncia particular,11816
13845.0,Denuncia particular,11816
395.0,Denuncia particular,11817
13846.0,Denuncia particular,11817
220.0,Denuncia particular,11818
221.0,Denuncia particular,11818
13847.0,Denuncia particular,11818
222.0,Denuncia particular,11819
14047.0,Denuncia particular,11819
223.0,Denuncia particular,11820
224.0,Denuncia particular,11820
225.0,Denuncia particular,11820
396.0,Denuncia particular,11820
13848.0,Denuncia particular,11820
226.0,Denuncia particular,11821
13849.0,Denuncia particular,11821
227.0,Denuncia particular,11822
228.0,Denuncia particular,11822
13850.0,Denuncia particular,11822
229.0,Denuncia particular,11823
13851.0,Denuncia particular,11823
13852.0,Denuncia particular,11823
230.0,Denuncia particular,11824
13853.0,Denuncia particular,11824
231.0,Denuncia particular,11825
232.0,Denuncia particular,11825
13854.0,Denuncia particular,11825
233.0,Denuncia particular,11826
13855.0,Denuncia particular,11826
234.0,Denuncia particular,11827
235.0,Denuncia particular,11827
13856.0,Denuncia particular,11827
236.0,Denuncia particular,11847
13857.0,Denuncia particular,11847
237.0,Denuncia particular,11848
13858.0,Denuncia particular,11848
238.0,Intervención policial,11849
13859.0,Intervención policial,11849
239.0,Denuncia particular,11878
240.0,Denuncia particular,11878
13860.0,Denuncia particular,11878
241.0,Denuncia particular,11879
13861.0,Denuncia particular,11879
242.0,Denuncia particular,11880
243.0,Denuncia particular,11880
